week;month;quarter;22
wk01;jan;q1;
wk02;jan;q1;
wk03;jan;q1;
wk04;jan;q1;
wk05;feb;q1;
wk06;feb;q1;
wk07;feb;q1;
wk08;feb;q1;
wk09;mar;q1;
wk10;mar;q1;
wk11;mar;q1;
wk12;mar;q1;
wk13;mar;q1;
wk14;apr;q2;
wk15;apr;q2;
wk16;apr;q2;
wk17;apr;q2;
wk18;may;q2;
wk19;may;q2;
wk20;may;q2;
wk21;may;q2;
wk22;jun;q2;
wk23;jun;q2;
wk24;jun;q2;
wk25;jun;q2;
wk26;jun;q2;
wk27;jul;q3;
wk28;jul;q3;
wk29;jul;q3;
wk30;jul;q3;
wk31;aug;q3;
wk32;aug;q3;
wk33;aug;q3;
wk34;aug;q3;
wk35;aug;q3;
wk36;sep;q3;
wk37;sep;q3;
wk38;sep;q3;
wk39;sep;q3;
wk40;oct;q4;
wk41;oct;q4;
wk42;oct;q4;
wk43;oct;q4;
wk44;nov;q4;
wk45;nov;q4;
wk46;nov;q4;
wk47;nov;q4;
wk48;nov;q4;
wk49;dec;q4;
wk50;dec;q4;
wk51;dec;q4;
wk52;dec;q4;
