WK09;Worked Hours;Serious Incident;Lost Time Incident;Recordable Incident;First Aid Incident;Serious Near Miss;Near Miss;Events
BSB1;6757.80;0;0;0;0;0;0;0
CNF1;18741.80;0;0;0;0;0;0;0
DBZ1;7598.20;0;0;0;0;0;0;0
DSP2;5260.50;0;0;0;0;0;0;0
DBH5;3153.80;0;0;0;0;0;0;0
DRJ3;3871.80;0;0;0;0;0;0;0
FOR2;10941.00;0;0;0;0;0;1;0
GIG1;26486.90;0;0;0;0;0;0;0
GRU5;44763.02;0;0;0;4;0;6;0
GRU8;11223.20;0;0;0;0;0;4;1
POA1;22978.00;0;0;0;0;0;0;0
REC1;22625.20;0;0;0;0;0;3;1
XBRA;33862.40;0;0;0;0;0;0;0
XBRB;17494.40;0;0;0;0;0;0;0
XBRT;164128.80;0;0;0;0;0;0;0
XBRZ;12962.40;0;0;0;0;0;0;0
